Date,RSI_14,RSI_5,RSI_7,RSI_50,ROC_12,ROC_25,ROC_200,MACD,TRIX_15,TRIX_30,MA_10,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,EMA_50,EMA_200,ADX,CCI,NegativeVolume,ADI,MFI,OBV,Bollinger_mavg,Bollinger_hband,Bollinger_lband,Bollinger_hband_indicator,Bollinger_lband_indicator
2014-10-30,41.50709279735621,48.125475926857405,44.70939764256045,44.45066435831343,-2.9969804117749885,-7.100918172164533,-24.452468989046142,-7.258850002072279,-0.2980134739285835,-0.12004836903999057,301.71399841308596,307.60550079345705,321.7423999023438,326.56800079345703,333.3899005126953,301.7844991021888,309.0433491042611,316.08994149562784,326.330148835618,33.233358703270255,-79.04818225308205,1187.7688067716037,208496530.51882887,42.97053329325171,90512500,307.60550079345705,328.2395592999579,286.97144228695623,0.0,0.0
2014-10-31,47.041513929126616,59.993908284043016,54.04961872182628,46.08357140720727,-0.16668619916666874,-5.49178567162798,-22.824658697348116,-6.427955740149855,-0.30003145084315974,-0.1264805246718611,301.89599609375,306.7415008544922,321.19339965820313,326.2706005859375,332.93820053100586,302.3499594641718,308.77791520432163,315.673080709724,326.12248557810017,32.13138649545134,-19.580119153744597,1187.7688067716037,212486459.85619265,48.55773384258596,95063200,306.7415008544922,326.18085461968553,287.30214708929884,0.0,0.0
2014-11-03,47.26018040175467,60.454101879250075,54.415182138963054,46.149297493442404,0.9443359992970659,-5.002798377074057,-23.49540491293238,-5.6829756306718195,-0.29592472433882294,-0.13199860559870882,301.8469970703125,305.9175003051758,320.6759997558594,326.0687005615234,332.46875061035155,302.8684274267151,308.5514030573869,315.2827638670173,325.9194757834992,30.784419552056697,-1.6868289520336972,1188.7798442158014,212615617.1714245,48.44320953025637,98305700,305.9175003051758,324.0168965614129,287.81810404893866,0.0,0.0
2014-11-04,45.019716491077624,52.07400045285672,49.29455424050651,45.515639231471496,-0.27335563489705594,-6.087955816331958,-25.60864595514812,-5.266675544945201,-0.28908528652900894,-0.13690916969011832,300.5949981689453,305.20899963378906,320.05179992675784,325.8341006469727,331.9475506591797,302.8594382162348,308.12611376118,314.7936357764909,325.689530726535,29.859609447637915,-25.229849345332283,1188.7798442158014,213623663.9307911,49.64296332091459,94878300,305.20899963378906,322.6169213415849,287.80107792599324,0.0,0.0
2014-11-05,40.54540139648559,37.884840665388595,39.84024821365673,44.17773485024196,-3.1644958400476626,-6.596107542694665,-26.701937323772757,-5.382262478002701,-0.2840339041202101,-0.14174897682775628,298.9499969482422,303.8999984741211,319.1455999755859,325.5231005859375,331.40745056152343,301.8841383389174,307.2664008169201,314.07702217794895,325.3992865303871,29.586871614063455,-57.82882576553596,1188.7798442158014,211191390.68516484,49.707387244476855,90203800,303.8999984741211,319.7143741805643,288.08562276767793,0.0,0.0
2014-11-06,40.66658131082562,38.28594064489669,40.09602194629847,44.2096664066954,-5.927115314021953,-6.837093295841852,-25.815885595141243,-5.401911021892602,-0.2798029106842528,-0.14643102321892082,297.29599914550784,302.96349945068357,318.21480041503906,325.23330078125,330.8913006591797,301.0773500788436,306.4792611007362,313.3932179611054,325.113124621114,29.504647542151012,-77.74156965625397,1189.261039618085,214375026.39468363,44.49367728721848,93961900,302.96349945068357,318.15611824180667,287.7708806595605,0.0,0.0
2014-11-07,43.96615768738561,49.27093453778828,47.13118518434612,45.069818986261986,-4.188904948719217,-7.08929961427989,-22.63674390359028,-5.098881180851777,-0.27378031647277995,-0.15062809029348956,298.5759979248047,302.38699798583986,317.4116003417969,324.8881005859375,330.4526005554199,300.8900631977234,305.9889443785752,312.86250295680964,324.8618496035066,28.9438692067292,-36.5950807206595,1202.170241063738,216836384.97305232,48.252317191769514,96609300,302.38699798583986,317.1250907475785,287.6489052241012,0.0,0.0
2014-11-10,48.950860863635434,62.77507470113549,56.78514974994738,46.443574438586964,-2.576795297576114,-5.304167041585171,-21.01325817651545,-4.384554311878446,-0.26300738646508387,-0.15390664870511217,300.0899963378906,302.3199966430664,316.7329998779297,324.6692004394531,330.04675048828125,301.53928199062176,305.9238363025002,312.5584826585646,324.6653136408007,27.558495773348792,19.53248624929245,1202.170241063738,218977109.13250175,47.66976748914199,99418400,302.3199966430664,316.9956477925158,287.64434549361704,0.0,0.0
2014-11-11,54.6597173956659,74.1013758604966,66.23816370512664,48.18156703710322,8.691567065849547,-1.5679225971499793,-20.895972527602613,-3.2245007796592517,-0.2446529999426774,-0.15578147697723124,301.73199768066405,302.50499725341797,316.12559997558594,324.54730041503905,329.6346505737305,303.1501631867761,306.3746639664354,312.536973917665,324.5393902191572,25.754847730025656,82.6099832341422,1202.170241063738,222458300.96372893,48.10214413406833,103222000,302.50499725341797,317.5662417048729,287.44375280196306,0.0,0.0
2014-11-12,54.186829165596514,72.1138965219964,65.03547353885256,48.06622975898945,7.428357572936401,-3.4676176071004288,-18.919833454413396,-2.3187665218845837,-0.22178150857526424,-0.15648166643583117,303.4709991455078,302.78199768066406,315.57580017089845,324.39000061035154,329.2712005615234,304.43629342967597,306.75505995156055,312.49670081366344,324.4097446425052,24.104662534516358,92.26262364664672,1200.2437479971106,223408703.12171265,56.226328099755044,101039000,302.78199768066406,318.2852543401548,287.27874102117335,0.0,0.0
